服务器输出文件名	config_equip_base.xml	根名称	ability																																								
客户端输出文件名	config_equip_base.xml	项名称	equip_base																																								
装备类型id	名称	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	职业要求	部位	资质	品质	阶	主属性类型	数值	武力	身手	内力	生命上限	生命回复	怒气上限	怒气回复	武攻	武防	内力	内防	暴击率:百份比	暴击伤害:百份比	格挡率:百份比	格挡值:百份比	闪避:百份比	命中:百份比	伤害减免:百份比	CD减免:百份比	近战减免:百份比	远程减免:百份比	击中生命回复	击杀怒气回复	装备图标名称	模型形象	模型发型
104340504	续雷腰带	引天雷击中，炼制而成。仍江湖七宝之一。	1	80	12	10	6	0	3	1	1	4	3	4	5	101	5160	3.36	7.68	2.88	5160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
104340604	七煞束腰	功力浅薄之人配戴非中毒不可，被世人视为不详之物。	1	100	12	10	6	0	3	1	1	4	3	4	6	101	6450	4.2	9.6	3.6	6450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
104340704	破天腰带	有着破灭天空的威力	1	120	12	10	6	0	3	1	1	4	3	4	7	101	7740	5.04	11.52	4.32	7740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
104340804	金轮腰带	传说为天宫一战将的出征腰带	1	140	12	10	6	0	3	1	1	4	3	4	8	101	9030	5.88	13.44	5.04	9030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
104340904	易风腰带	无形狂风席卷而成，锋利无比	1	160	12	10	6	0	3	1	1	4	3	4	9	101	10320	6.72	15.36	5.76	10320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
104341004	空明腰带	传说如来佛祖亲赐人间唯一一条腰带	1	180	12	10	6	0	3	1	1	4	3	4	10	101	11610	7.56	17.28	6.48	11610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
104341104	火麟腰带	神兽火麒麟所幻化，威力极强，异常凶猛	1	200	12	10	6	0	3	1	1	4	3	4	11	101	12900	8.4	19.2	7.2	12900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
104150104	元宗缠腰	普通皮质腰带	1	10	12	10	5	0	3	1	1	4	1	5	1	101	354.75	0.42	0.24	0.9	354.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
104150204	鹿皮腰带	倒霉的小鹿死后制成的腰带	1	20	12	10	5	0	3	1	1	4	1	5	2	101	709.5	0.84	0.48	1.8	709.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
104150304	帛锦束腰	虽然很柔软，但是不是很耐揍	1	40	12	10	5	0	3	1	1	4	1	5	3	101	1419	1.68	0.96	3.6	1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
104150404	霜雪腰带	相传为冷不了，偷取西夏一品堂至宝	1	60	12	10	5	0	3	1	1	4	1	5	4	101	2128.5	2.52	1.44	5.4	2128.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
104150504	续雷腰带	引天雷击中，炼制而成。仍江湖七宝之一。	1	80	12	10	5	0	3	1	1	4	1	5	5	101	2838	3.36	1.92	7.2	2838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
104150604	七煞束腰	功力浅薄之人配戴非中毒不可，被世人视为不详之物。	1	100	12	10	5	0	3	1	1	4	1	5	6	101	3547.5	4.2	2.4	9	3547.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
104150704	破天腰带	有着破灭天空的威力	1	120	12	10	5	0	3	1	1	4	1	5	7	101	4257	5.04	2.88	10.8	4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
104150804	金轮腰带	传说为天宫一战将的出征腰带	1	140	12	10	5	0	3	1	1	4	1	5	8	101	4966.5	5.88	3.36	12.6	4966.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
104150904	易风腰带	无形狂风席卷而成，锋利无比	1	160	12	10	5	0	3	1	1	4	1	5	9	101	5676	6.72	3.84	14.4	5676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
104151004	空明腰带	传说如来佛祖亲赐人间唯一一条腰带	1	180	12	10	5	0	3	1	1	4	1	5	10	101	6385.5	7.56	4.32	16.2	6385.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
104151104	火麟腰带	神兽火麒麟所幻化，威力极强，异常凶猛	1	200	12	10	5	0	3	1	1	4	1	5	11	101	7095	8.4	4.8	18	7095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
104250104	元宗缠腰	普通皮质腰带	1	10	12	10	5	0	3	1	1	4	2	5	1	101	496.65	0.42	0.78	0.9	496.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
104250204	鹿皮腰带	倒霉的小鹿死后制成的腰带	1	20	12	10	5	0	3	1	1	4	2	5	2	101	993.3	0.84	1.56	1.8	993.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
104250304	帛锦束腰	虽然很柔软，但是不是很耐揍	1	40	12	10	5	0	3	1	1	4	2	5	3	101	1986.6	1.68	3.12	3.6	1986.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
104250404	霜雪腰带	相传为冷不了，偷取西夏一品堂至宝	1	60	12	10	5	0	3	1	1	4	2	5	4	101	2979.9	2.52	4.68	5.4	2979.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
104250504	续雷腰带	引天雷击中，炼制而成。仍江湖七宝之一。	1	80	12	10	5	0	3	1	1	4	2	5	5	101	3973.2	3.36	6.24	7.2	3973.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
104250604	七煞束腰	功力浅薄之人配戴非中毒不可，被世人视为不详之物。	1	100	12	10	5	0	3	1	1	4	2	5	6	101	4966.5	4.2	7.8	9	4966.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
104250704	破天腰带	有着破灭天空的威力	1	120	12	10	5	0	3	1	1	4	2	5	7	101	5959.8	5.04	9.36	10.8	5959.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
104250804	金轮腰带	传说为天宫一战将的出征腰带	1	140	12	10	5	0	3	1	1	4	2	5	8	101	6953.1	5.88	10.92	12.6	6953.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
104250904	易风腰带	无形狂风席卷而成，锋利无比	1	160	12	10	5	0	3	1	1	4	2	5	9	101	7946.4	6.72	12.48	14.4	7946.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
104251004	空明腰带	传说如来佛祖亲赐人间唯一一条腰带	1	180	12	10	5	0	3	1	1	4	2	5	10	101	8939.7	7.56	14.04	16.2	8939.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
104251104	火麟腰带	神兽火麒麟所幻化，威力极强，异常凶猛	1	200	12	10	5	0	3	1	1	4	2	5	11	101	9933	8.4	15.6	18	9933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
104350104	元宗缠腰	普通皮质腰带	1	10	12	10	5	0	3	1	1	4	3	5	1	101	709.5	0.42	0.96	0.9	709.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
104350204	鹿皮腰带	倒霉的小鹿死后制成的腰带	1	20	12	10	5	0	3	1	1	4	3	5	2	101	1419	0.84	1.92	1.8	1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
104350304	帛锦束腰	虽然很柔软，但是不是很耐揍	1	40	12	10	5	0	3	1	1	4	3	5	3	101	2838	1.68	3.84	3.6	2838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
104350404	霜雪腰带	相传为冷不了，偷取西夏一品堂至宝	1	60	12	10	5	0	3	1	1	4	3	5	4	101	4257	2.52	5.76	5.4	4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
104350504	续雷腰带	引天雷击中，炼制而成。仍江湖七宝之一。	1	80	12	10	5	0	3	1	1	4	3	5	5	101	5676	3.36	7.68	7.2	5676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0
104350604	七煞束腰	功力浅薄之人配戴非中毒不可，被世人视为不详之物。	1	100	12	10	5	0	3	1	1	4	3	5	6	101	7095	4.2	9.6	9	7095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
104350704	破天腰带	有着破灭天空的威力	1	120	12	10	5	0	3	1	1	4	3	5	7	101	8514	5.04	11.52	10.8	8514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
104350804	金轮腰带	传说为天宫一战将的出征腰带	1	140	12	10	5	0	3	1	1	4	3	5	8	101	9933	5.88	13.44	12.6	9933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
104350904	易风腰带	无形狂风席卷而成，锋利无比	1	160	12	10	5	0	3	1	1	4	3	5	9	101	11352	6.72	15.36	14.4	11352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
104351004	空明腰带	传说如来佛祖亲赐人间唯一一条腰带	1	180	12	10	5	0	3	1	1	4	3	5	10	101	12771	7.56	17.28	16.2	12771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
104351104	火麟腰带	神兽火麒麟所幻化，威力极强，异常凶猛	1	200	12	10	5	0	3	1	1	4	3	5	11	101	14190	8.4	19.2	18	14190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
105110104	青云裤	看似很酷的一条裤子	1	10	12	10	9	0	3	1	1	5	1	1	1	101	75.25	0	0	0	75.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105110204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	9	0	3	1	1	5	1	1	2	101	150.5	0	0	0	150.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105110304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	9	0	3	1	1	5	1	1	3	101	301	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105110404	照天裤	天地相应，锁住武者的真气	1	60	12	10	9	0	3	1	1	5	1	1	4	101	451.5	0	0	0	451.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105110504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	9	0	3	1	1	5	1	1	5	101	602	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105110604	神武裤	武学造化，得之可武功大成	1	100	12	10	9	0	3	1	1	5	1	1	6	101	752.5	0	0	0	752.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105110704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	9	0	3	1	1	5	1	1	7	101	903	0	0	0	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105110804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	9	0	3	1	1	5	1	1	8	101	1053.5	0	0	0	1053.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105110904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	9	0	3	1	1	5	1	1	9	101	1204	0	0	0	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105111004	黄沙裤	沙漠中的佼佼者，能够控制沙漠中的一切	1	180	12	10	9	0	3	1	1	5	1	1	10	101	1354.5	0	0	0	1354.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105111104	龙天裤	龙泉颜色如霜雪，神龙附体所形成，得之可毁天灭地	1	200	12	10	9	0	3	1	1	5	1	1	11	101	1505	0	0	0	1505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105210104	青云裤	看似很酷的一条裤子	1	10	12	10	9	0	3	1	1	5	2	1	1	101	105.35	0	0	0	105.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105210204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	9	0	3	1	1	5	2	1	2	101	210.7	0	0	0	210.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105210304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	9	0	3	1	1	5	2	1	3	101	421.4	0	0	0	421.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105210404	照天裤	天地相应，锁住武者的真气	1	60	12	10	9	0	3	1	1	5	2	1	4	101	632.1	0	0	0	632.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105210504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	9	0	3	1	1	5	2	1	5	101	842.8	0	0	0	842.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105210604	神武裤	武学造化，得之可武功大成	1	100	12	10	9	0	3	1	1	5	2	1	6	101	1053.5	0	0	0	1053.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105210704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	9	0	3	1	1	5	2	1	7	101	1264.2	0	0	0	1264.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105210804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	9	0	3	1	1	5	2	1	8	101	1474.9	0	0	0	1474.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105210904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	9	0	3	1	1	5	2	1	9	101	1685.6	0	0	0	1685.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105211004	黄沙裤	沙漠中的佼佼者，能够控制沙漠中的一切	1	180	12	10	9	0	3	1	1	5	2	1	10	101	1896.3	0	0	0	1896.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105211104	龙天裤	龙泉颜色如霜雪，神龙附体所形成，得之可毁天灭地	1	200	12	10	9	0	3	1	1	5	2	1	11	101	2107	0	0	0	2107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105310104	青云裤	看似很酷的一条裤子	1	10	12	10	9	0	3	1	1	5	3	1	1	101	150.5	0	0	0	150.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105310204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	9	0	3	1	1	5	3	1	2	101	301	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105310304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	9	0	3	1	1	5	3	1	3	101	602	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105310404	照天裤	天地相应，锁住武者的真气	1	60	12	10	9	0	3	1	1	5	3	1	4	101	903	0	0	0	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105310504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	9	0	3	1	1	5	3	1	5	101	1204	0	0	0	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105310604	神武裤	武学造化，得之可武功大成	1	100	12	10	9	0	3	1	1	5	3	1	6	101	1505	0	0	0	1505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105310704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	9	0	3	1	1	5	3	1	7	101	1806	0	0	0	1806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105310804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	9	0	3	1	1	5	3	1	8	101	2107	0	0	0	2107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105310904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	9	0	3	1	1	5	3	1	9	101	2408	0	0	0	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105311004	黄沙裤	沙漠中的佼佼者，能够控制沙漠中的一切	1	180	12	10	9	0	3	1	1	5	3	1	10	101	2709	0	0	0	2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105311104	龙天裤	龙泉颜色如霜雪，神龙附体所形成，得之可毁天灭地	1	200	12	10	9	0	3	1	1	5	3	1	11	101	3010	0	0	0	3010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105120104	青云裤	看似很酷的一条裤子	1	10	12	10	8	0	3	1	1	5	1	2	1	101	86	0.78	0.24	0.66	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105120204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	8	0	3	1	1	5	1	2	2	101	172	1.56	0.48	1.32	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105120304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	8	0	3	1	1	5	1	2	3	101	344	3.12	0.96	2.64	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105120404	照天裤	天地相应，锁住武者的真气	1	60	12	10	8	0	3	1	1	5	1	2	4	101	516	4.68	1.44	3.96	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105120504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	8	0	3	1	1	5	1	2	5	101	688	6.24	1.92	5.28	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105120604	神武裤	武学造化，得之可武功大成	1	100	12	10	8	0	3	1	1	5	1	2	6	101	860	7.8	2.4	6.6	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105120704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	8	0	3	1	1	5	1	2	7	101	1032	9.36	2.88	7.92	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105120804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	8	0	3	1	1	5	1	2	8	101	1204	10.92	3.36	9.24	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105120904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	8	0	3	1	1	5	1	2	9	101	1376	12.48	3.84	10.56	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105121004	黄沙裤	沙漠中的佼佼者，能够控制沙漠中的一切	1	180	12	10	8	0	3	1	1	5	1	2	10	101	1548	14.04	4.32	11.88	1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105121104	龙天裤	龙泉颜色如霜雪，神龙附体所形成，得之可毁天灭地	1	200	12	10	8	0	3	1	1	5	1	2	11	101	1720	15.6	4.8	13.2	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105220104	青云裤	看似很酷的一条裤子	1	10	12	10	8	0	3	1	1	5	2	2	1	101	120.4	0.78	0.78	0.66	120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105220204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	8	0	3	1	1	5	2	2	2	101	240.8	1.56	1.56	1.32	240.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105220304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	8	0	3	1	1	5	2	2	3	101	481.6	3.12	3.12	2.64	481.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105220404	照天裤	天地相应，锁住武者的真气	1	60	12	10	8	0	3	1	1	5	2	2	4	101	722.4	4.68	4.68	3.96	722.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105220504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	8	0	3	1	1	5	2	2	5	101	963.2	6.24	6.24	5.28	963.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105220604	神武裤	武学造化，得之可武功大成	1	100	12	10	8	0	3	1	1	5	2	2	6	101	1204	7.8	7.8	6.6	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105220704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	8	0	3	1	1	5	2	2	7	101	1444.8	9.36	9.36	7.92	1444.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105220804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	8	0	3	1	1	5	2	2	8	101	1685.6	10.92	10.92	9.24	1685.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105220904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	8	0	3	1	1	5	2	2	9	101	1926.4	12.48	12.48	10.56	1926.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105221004	黄沙裤	沙漠中的佼佼者，能够控制沙漠中的一切	1	180	12	10	8	0	3	1	1	5	2	2	10	101	2167.2	14.04	14.04	11.88	2167.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105221104	龙天裤	龙泉颜色如霜雪，神龙附体所形成，得之可毁天灭地	1	200	12	10	8	0	3	1	1	5	2	2	11	101	2408	15.6	15.6	13.2	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105320104	青云裤	看似很酷的一条裤子	1	10	12	10	8	0	3	1	1	5	3	2	1	101	172	0.78	0.96	0.66	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105320204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	8	0	3	1	1	5	3	2	2	101	344	1.56	1.92	1.32	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105320304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	8	0	3	1	1	5	3	2	3	101	688	3.12	3.84	2.64	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105320404	照天裤	天地相应，锁住武者的真气	1	60	12	10	8	0	3	1	1	5	3	2	4	101	1032	4.68	5.76	3.96	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105320504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	8	0	3	1	1	5	3	2	5	101	1376	6.24	7.68	5.28	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105320604	神武裤	武学造化，得之可武功大成	1	100	12	10	8	0	3	1	1	5	3	2	6	101	1720	7.8	9.6	6.6	1720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105320704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	8	0	3	1	1	5	3	2	7	101	2064	9.36	11.52	7.92	2064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105320804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	8	0	3	1	1	5	3	2	8	101	2408	10.92	13.44	9.24	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105320904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	8	0	3	1	1	5	3	2	9	101	2752	12.48	15.36	10.56	2752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105321004	黄沙裤	沙漠中的佼佼者，能够控制沙漠中的一切	1	180	12	10	8	0	3	1	1	5	3	2	10	101	3096	14.04	17.28	11.88	3096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
105321104	龙天裤	龙泉颜色如霜雪，神龙附体所形成，得之可毁天灭地	1	200	12	10	8	0	3	1	1	5	3	2	11	101	3440	15.6	19.2	13.2	3440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
105130104	青云裤	看似很酷的一条裤子	1	10	12	10	7	0	3	1	1	5	1	3	1	101	96.75	0.78	0.24	0.9	96.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
105130204	天罡裤	有着某些种族的图腾，有自己的信仰	1	20	12	10	7	0	3	1	1	5	1	3	2	101	193.5	1.56	0.48	1.8	193.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
105130304	归元裤	寸心言不尽，前路日将斜	1	40	12	10	7	0	3	1	1	5	1	3	3	101	387	3.12	0.96	3.6	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
105130404	照天裤	天地相应，锁住武者的真气	1	60	12	10	7	0	3	1	1	5	1	3	4	101	580.5	4.68	1.44	5.4	580.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
105130504	金蛟裤	受伤蛟龙所制，坚硬无比	1	80	12	10	7	0	3	1	1	5	1	3	5	101	774	6.24	1.92	7.2	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
105130604	神武裤	武学造化，得之可武功大成	1	100	12	10	7	0	3	1	1	5	1	3	6	101	967.5	7.8	2.4	9	967.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0
105130704	混元裤	虽复尘埋无所用，犹能夜夜气冲天	1	120	12	10	7	0	3	1	1	5	1	3	7	101	1161	9.36	2.88	10.8	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
105130804	催心裤	且与少年饮美酒，往来射猎西山头	1	140	12	10	7	0	3	1	1	5	1	3	8	101	1354.5	10.92	3.36	12.6	1354.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
105130904	透骨裤	抽取万人灵魂、白骨所合成，阴气十足	1	160	12	10	7	0	3	1	1	5	1	3	9	101	1548	12.48	3.84	14.4	1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
